,ids,names
0,67edfe68d021bd5ffb8c4151,Laptop Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX/16GB/512GB/4GB RTX2050/144Hz/Win11 (83LK000BVN)
1,67edfe6ad021bd5ffb8c4167,Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/24GB/512GB/6GB RTX3050/144Hz/Win11 (83GS00D9VN)
2,67edfe69d021bd5ffb8c4162,Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/16GB/512GB/6GB RTX3050/144Hz/Win11 (83GS000JVN)
3,67edfe6cd021bd5ffb8c4186,Laptop Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX/16GB/512GB/8GB RTX4060/165Hz/Win11 (NH.QLUSV.005)
4,67edfe6cd021bd5ffb8c4190,Laptop Asus Gaming TUF A15 FA507NUR R7 7435HS/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP057W)
5,67edfe6cd021bd5ffb8c4188,Laptop Lenovo Gaming LOQ 15ARP9 R7 7435HS/24GB/512GB/6GB RTX4050/144Hz/Win11 (83JC0040VN)
6,67edfe6ed021bd5ffb8c41ad,Laptop Asus TUF Gaming A15 FA507NVR R7 7435HS/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP007W)
7,67edfe6ed021bd5ffb8c41a5,"Laptop Asus TUF Gaming F15 FX507VV i7 13620H/16GB/512GB/8GB RTX4060/15.6""F/144Hz/Win11 (LP151W)"
8,67edfe6dd021bd5ffb8c419e,Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/24GB/512GB/4GB RTX2050/144Hz/Win11 (83GS00DBVN)
9,67edfe73d021bd5ffb8c41e1,Laptop Lenovo Gaming LOQ 15IRX9 i7 13650HX/24GB/512GB/6GB RTX4050/144Hz/Win11 (83DV00UGVN)
10,67edfe72d021bd5ffb8c41d8,Laptop MSI Gaming Sword 16 HX B14VFKG i7 14700HX/16GB/1TB/8GB RTX4060/240Hz/Balo/Win11 (045VN)
11,67edfe75d021bd5ffb8c41f5,Laptop Lenovo Gaming Legion 5 16IRX9 i7 14650HX/16GB/1TB/8GB RTX4060/165Hz/Win11 (83DG0051VN)
12,67edfe73d021bd5ffb8c41dd,Laptop Asus TUF Gaming F15 FX507VU i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP186W)
13,67edfe74d021bd5ffb8c41ec,Laptop Asus ROG Strix G16 G614JV i7 13650HX/32GB/1TB/8GB RTX4060/165Hz/Win11 (N3515W)
14,67edfe72d021bd5ffb8c41d6,Laptop MSI Gaming Stealth 14 AI Studio A1VFG Ultra 7 155H/32GB/1TB/8GB RTX4060/120Hz/Balo/Tai nghe/Móc chìa khóa/Chuột/Lót chuột/Win11 (085VN)
15,67edfe75d021bd5ffb8c41f7,Laptop Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX/32GB/1TB/8GB RTX4060/240Hz/Win11 (83DF0047VN)
16,67edfe75d021bd5ffb8c41f8,Laptop Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H/32GB/1TB/6GB RTX4050/120Hz/OfficeHS/Win11 (83E2005DVN)
17,67edfe75d021bd5ffb8c41f4,Laptop MSI Gaming Cyborg 14 A13VE i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Balo/Win11 (090VN)
18,67edfe77d021bd5ffb8c420f,Laptop Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX/32GB/1TB/8GB RTX4070/240Hz/Win11 (83DF0046VN)
19,67edfe76d021bd5ffb8c420d,Laptop Lenovo Gaming LOQ 15ARP9 R7 7435HS/24GB/512GB/8GB RTX4060/144Hz/Win11 (83JC003YVN)
20,67edfe79d021bd5ffb8c422a,Laptop Dell G15 5530 i9 13900HX/16GB/1TB/8GB RTX4060/165Hz/OfficeHS/Win11 (i9HX161W11GR4060)
21,67edfe79d021bd5ffb8c422b,Laptop Asus TUF Gaming F15 FX507VU i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP167W)
22,67edfe7ad021bd5ffb8c4242,Laptop MSI Creator Z17 HX Studio A14VGT i7 14700HX/32GB/2TB/8GB RTX4070/165Hz/Touch/Pen/Balo/Win11 (272VN)
23,67edfe79d021bd5ffb8c422e,Laptop Lenovo Gaming Legion Slim 5 16AHP9 R7 8845HS/32GB/1TB/8GB RTX4060/165Hz/Win11 (83DH003BVN)
24,67edfe79d021bd5ffb8c4231,Laptop Asus Vivobook 14X OLED K3405VC i5 13500H/16GB/512GB/4GB RTX3050/Win11 (KM006W)
25,67edfe79d021bd5ffb8c4234,Laptop Lenovo Gaming Legion Pro 7 16IRX9H i9 14900HX/32GB/1TB/16GB RTX4090/240Hz/Win11 (83DE001MVN)
26,67edfe7bd021bd5ffb8c4248,Laptop MSI Creator M16 HX C14VFG i7 14700HX/32GB/1TB/8GB RTX4060/240Hz/Balo/Win11 (040VN)
27,67edfe79d021bd5ffb8c4238,Laptop Asus ROG Strix G16 G614JU i7 13650HX/32GB/1TB/6GB RTX4050/165Hz/Win11 (N3509W)
28,67edfe7ad021bd5ffb8c4240,Laptop Asus TUF Gaming A15 FA507NV R7 7735HS/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP031W)
29,67edfe7bd021bd5ffb8c4247,Laptop HP OMEN 16 xf0071AX R7 7840HS/32GB/1TB/8GB RTX4060/240Hz/Win11 (8W946PA)
30,67edfe7bd021bd5ffb8c424b,Laptop Asus TUF Gaming A14 FA401WV R9 AI HX 370/16GB/1TB/8GB RTX4060/165Hz/OfficeHS/Office365/Win11 (RG062WS)
31,67edfe7cd021bd5ffb8c4256,Laptop MacBook Pro 14 inch M4 16GB/512GB
32,67edfe7cd021bd5ffb8c4257,Laptop MacBook Pro 14 inch M4 Pro 24GB/512GB
33,67edfe7dd021bd5ffb8c426b,Laptop MacBook Pro 14 inch M4 Pro 48GB/1TB
34,67edfe7dd021bd5ffb8c4265,Laptop MacBook Pro 14 inch Nano M4 Pro 24GB/512GB
35,67edfe7cd021bd5ffb8c4262,Laptop MacBook Pro 16 inch M4 Pro 24GB/512GB
36,67edfe7cd021bd5ffb8c425c,Laptop MacBook Pro 14 inch Nano M4 16GB/512GB
37,67edfe7cd021bd5ffb8c425b,Laptop MacBook Pro 14 inch M4 Pro 24GB/1TB
38,67edfe7dd021bd5ffb8c426a,Laptop MacBook Pro 14 inch M4 Pro 48GB/512GB
39,67edfe7cd021bd5ffb8c425e,Laptop MacBook Pro 16 inch M4 Pro 24GB/1TB
40,67edfe7dd021bd5ffb8c4264,Laptop MacBook Pro 16 inch M4 Pro 48GB/512GB
