,ids,names
0,67edfe67d021bd5ffb8c4149,Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W)
1,67edfe68d021bd5ffb8c414b,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5057W1)
2,67edfe68d021bd5ffb8c414a,Laptop HP 15 fc0085AU R5 7430U/16GB/512GB/Win11 (A6VV8PA)
3,67edfe69d021bd5ffb8c415d,Laptop Acer Aspire 7 A715 76 53PJ i5 12450H/16GB/512GB/Win11 (NH.QGESV.007)
4,67edfe68d021bd5ffb8c414f,Laptop HP 15 fd0234TU i5 1334U/16GB/512GB/Win11 (9Q969PA)
5,67edfe69d021bd5ffb8c4164,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001)
6,67edfe68d021bd5ffb8c4150,Laptop Asus Vivobook 15 X1504ZA i5 1235U/16GB/512GB/Win11 (NJ1608W)
7,67edfe6cd021bd5ffb8c418a,Laptop Lenovo IdeaPad Slim 3 15IRH10 i5 13420H/16GB/512GB/Win11 (83K1000HVN)
8,67edfe68d021bd5ffb8c4155,Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W)
9,67edfe68d021bd5ffb8c4153,Laptop HP 15 fd0303TU i3 1315U/8GB/512GB/Win11 (A2NL4PA)
10,67edfe68d021bd5ffb8c4154,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11
11,67edfe69d021bd5ffb8c4161,Laptop Acer Aspire Lite 14 51M 36PN i3 1215U/8GB/512GB/Win11 (NX.KTWSV.001)
12,67edfe68d021bd5ffb8c4156,Laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U/16GB/512GB/Win11 (82XQ00J0VN)
13,67edfe69d021bd5ffb8c4158,Laptop MacBook Air 13 inch M2 16GB/256GB
14,67edfe69d021bd5ffb8c4159,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W)
15,67edfe69d021bd5ffb8c415a,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (AG2J7AT)
16,67edfe6ad021bd5ffb8c4165,Laptop Acer Aspire Lite 14 51M 36MH i3 1215U/8GB/256GB/Win11 (NX.KTVSV.001)
17,67edfe69d021bd5ffb8c415e,Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W)
18,67edfe6ad021bd5ffb8c4169,Laptop HP Pavilion 15 eg3093TU i5 1335U/16GB/512GB/Win11 (8C5L4PA)
19,67edfe6ad021bd5ffb8c416a,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (N5I7125W1)
20,67edfe6ad021bd5ffb8c416b,Laptop Acer Aspire 3 A315 44P R9W8 R7 5700U/8GB/512GB/Win11 (NX.KSJSV.002)
21,67edfe68d021bd5ffb8c414d,Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN)
22,67edfe69d021bd5ffb8c4163,Laptop HP 240 G9 i3 1215U/8GB/512GB/Win11 (AG2J5AT)
23,67edfe69d021bd5ffb8c4160,Laptop HP 245 G10 R5 7530U/8GB/512GB/Win11 (A20TDPT)
24,67edfe69d021bd5ffb8c415f,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N3520-i5U165W11BLU-FP)
25,67edfe6ad021bd5ffb8c4166,Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W)
