,ids,names
0,67edfe69d021bd5ffb8c4164,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001)
1,67edfe69d021bd5ffb8c4158,Laptop MacBook Air 13 inch M2 16GB/256GB
2,67edfe69d021bd5ffb8c415e,Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W)
3,67edfe69d021bd5ffb8c4160,Laptop HP 245 G10 R5 7530U/8GB/512GB/Win11 (A20TDPT)
4,67edfe6ad021bd5ffb8c4166,Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W)
5,67edfe6cd021bd5ffb8c4184,Laptop HP 240 G10 i5 1335U/16GB/512GB/Win11 (9H2E4PT)
6,67edfe6bd021bd5ffb8c417c,Laptop Asus Zenbook 14 OLED UX3402VA i5 13500H/16GB/512GB/90Hz/Win11 (KM657W)
7,67edfe6cd021bd5ffb8c418e,Laptop HP 240 G8 i3 1115G4/8GB/512GB/Win11 (6L1A2PA)
8,67edfe70d021bd5ffb8c41ba,Laptop Asus Vivobook S 14 OLED S5406MA Ultra 5 125H/16GB/1TB/120Hz/Win11 (PP136W)
9,67edfe6dd021bd5ffb8c419c,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 5 125H/16GB/512GB/Túi/Win11
10,67edfe77d021bd5ffb8c4213,Laptop HP Envy x360 14 fc0162TU Ultra 5 125U/16GB/512GB/Touch/Pen/OfficeHS/Win11 (AY8X1PA)
11,67edfe6ed021bd5ffb8c41a2,Laptop Asus Vivobook 14 X1404VA i5 1335U/16GB/512GB/Win11 (NK050W)
12,67edfe77d021bd5ffb8c4214,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 7 155H/32GB/1TB/120Hz/Túi/Win11 (PP152W)
13,67edfe72d021bd5ffb8c41d2,Laptop Acer Swift Lite 14 AI SFL14 51M 56HS Ultra 5 125U/16GB/512GB/Win11 (NX.J1HSV.002)
14,67edfe75d021bd5ffb8c41f9,Laptop HP Elitebook 630 G11 Ultra 7 155U/16GB/512GB/Win11 (A7LC5PT)
15,67edfe71d021bd5ffb8c41cb,Laptop HP Elitebook 630 G10 i5 1335U/16GB/512GB/Win11 (9J0B4PT)
16,67edfe70d021bd5ffb8c41c0,Laptop MSI Modern 14 C13M i5 1335U/16GB/512GB/Win11 (611VN)
17,67edfe70d021bd5ffb8c41c1,Laptop Asus Zenbook A14 UX3407QA X1 26 100/16GB/512GB/OfficeHS24+365/Win11 (QD299WS)
18,67edfe6ed021bd5ffb8c41ac,Laptop Acer Swift Go 14 41 R251 R5 7430U/16GB/1TB/Win11 (NX.KG3SV.005)
19,67edfe76d021bd5ffb8c420b,Laptop HP Elitebook 630 G10 i7 1355U/16GB/512GB/Win11 (9H1N9PT)
20,67edfe75d021bd5ffb8c41f6,Laptop Lenovo ThinkBook 14 G7 Ultra 7 155U/32GB/1TB/Win11 (21MR0070VN)
21,67edfe72d021bd5ffb8c41d1,Laptop HP Envy X360 14 fa0050AU R5 8640HS/16GB/512GB/Touch/Pen/Win11 (A29H8PA)
22,67edfe79d021bd5ffb8c422c,Laptop HP Elitebook 630 G10 i7 1355U/16GB/512GB/Win11 (873F2PA)
23,67edfe75d021bd5ffb8c41fa,Laptop Lenovo V14 Core 5 120U/16GB/512GB/Win11 (83HD0001VN)
24,67edfe7bd021bd5ffb8c424c,Laptop Asus Zenbook 14 OLED UM3406KA R7 AI 350/32GB/512GB/120Hz/OfficeHS24+365/Win11 (PP555WS)
25,67edfe73d021bd5ffb8c41df,Laptop HP Envy x360 14 fc0094TU Ultra 5 125U/16GB/512GB/Touch/Pen/Win11 (A19C4PA)
26,67edfe74d021bd5ffb8c41e9,Laptop Acer Swift Go 14 AI SFG14 73 53X7 Ultra 5 125H/16GB/512GB/Win11 (NX.KSLSV.001)
27,67edfe76d021bd5ffb8c4209,Laptop Lenovo Yoga Slim 7 14IMH9 Ultra 7 155H/32GB/1TB/OfficeHS/Win11 (83CV001VVN)
28,67edfe74d021bd5ffb8c41ed,Laptop MSI Prestige 13 AI Evo A1MG Ultra 7 155H/32GB/1TB/Balo/Chuột/Win11 (062VN)
29,67edfe7bd021bd5ffb8c424f,Laptop HP Envy X360 14 fa0048AU R7 8840HS/16GB/512GB/Touch/Pen/Win11 (A19BQPA)
30,67edfe78d021bd5ffb8c4222,Laptop Acer Swift Go 14 AI SFG14 73 71ZX Ultra 7 155H/16GB/512GB/Win11 (NX.KSLSV.002)
31,67edfe7bd021bd5ffb8c424d,Laptop HP Envy x360 14 fc0089TU Ultra 7 155U/16GB/512GB/Touch/Pen/Win11 (A19BZPA)
32,67edfe78d021bd5ffb8c4227,Laptop Acer Swift AI SF14 51 53P9 Ultra 5 226V/16GB/1TB/Win11 (NX.J2KSV.002)
33,67edfe79d021bd5ffb8c4230,Laptop Acer Swift AI SF14 51 75VP Ultra 7 258V/32GB/1TB/Win11 (NX.J2KSV.001)
34,67edfe72d021bd5ffb8c41d9,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 9 185H/32GB/1TB/120Hz/Túi/Win11 (PP475W)
35,67edfe79d021bd5ffb8c4231,Laptop Asus Vivobook 14X OLED K3405VC i5 13500H/16GB/512GB/4GB RTX3050/Win11 (KM006W)
36,67edfe79d021bd5ffb8c4235,Laptop HP Envy X360 14 fc0083TU Ultra 7 155U/32GB/1TB/Touch/Pen/Win11 (A19BSPA)
37,67edfe7ad021bd5ffb8c423a,Laptop Asus Zenbook S 14 UX5406SA Ultra 7 258V/32GB/1TB/120Hz/Túi/OfficeHS/Win11 (PV140WS)
38,67edfe7ad021bd5ffb8c4243,Laptop MacBook Air 13 inch M3 16GB/ 256GB
