,ids,names,current_prices
0,67edfe67d021bd5ffb8c4149,Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),12990000
1,67edfe68d021bd5ffb8c414a,Laptop HP 15 fc0085AU R5 7430U/16GB/512GB/Win11 (A6VV8PA),13190000
2,67edfe68d021bd5ffb8c414b,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5057W1),16490000
3,67edfe68d021bd5ffb8c414c,Laptop MacBook Air 13 inch M1 8GB/256GB (MGN63SA/A),17490000
4,67edfe68d021bd5ffb8c414d,Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN),14690000
5,67edfe68d021bd5ffb8c414e,Laptop Acer Nitro V 15 ANV15 41 R2UP R5 6600H/16GB/512GB/4GB RTX2050/165Hz/Win11 (NH.QPGSV.004),19490000
6,67edfe68d021bd5ffb8c414f,Laptop HP 15 fd0234TU i5 1334U/16GB/512GB/Win11 (9Q969PA),16190000
7,67edfe68d021bd5ffb8c4150,Laptop Asus Vivobook 15 X1504ZA i5 1235U/16GB/512GB/Win11 (NJ1608W),14490000
8,67edfe68d021bd5ffb8c4151,Laptop Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX/16GB/512GB/4GB RTX2050/144Hz/Win11 (83LK000BVN),18490000
9,67edfe68d021bd5ffb8c4152,Laptop Acer Nitro V 15 ANV15 41 R1JY R5 6600H/16GB/512GB/6GB RTX3050/165Hz/Win11 (NH.QPFSV.001),21190000
10,67edfe68d021bd5ffb8c4153,Laptop HP 15 fd0303TU i3 1315U/8GB/512GB/Win11 (A2NL4PA),11690000
11,67edfe68d021bd5ffb8c4154,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11,16490000
12,67edfe68d021bd5ffb8c4155,Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W),9990000
13,67edfe68d021bd5ffb8c4156,Laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U/16GB/512GB/Win11 (82XQ00J0VN),13190000
14,67edfe68d021bd5ffb8c4157,Laptop Acer Aspire 16 AI A16 71M 59L5 Ultra 5 125H/16GB/512GB/Win11 (NX.J4YSV.001),18690000
15,67edfe69d021bd5ffb8c4158,Laptop MacBook Air 13 inch M2 16GB/256GB,23990000
16,67edfe69d021bd5ffb8c4159,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W),16490000
17,67edfe69d021bd5ffb8c415a,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (AG2J7AT),15890000
18,67edfe69d021bd5ffb8c415b,Laptop Lenovo Ideapad Slim 5 14IAH8 i5 12450H/16GB/1TB/Win11 (83BF003WVN),17690000
19,67edfe69d021bd5ffb8c415c,Laptop Acer Aspire 16 AI A16 71M 71U7 Ultra 7 155H/16GB/512GB/Win11 (NX.J4YSV.002),21690000
