,ids,names
0,67edfe18d021bd5ffb8c4095,Điện thoại iPhone 16e 128GB
1,67edfe1ad021bd5ffb8c4098,Điện thoại iPhone 16 Pro Max 256GB
2,67edfe1bd021bd5ffb8c40a1,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB
3,67edfe1cd021bd5ffb8c40a4,Điện thoại Xiaomi Redmi Note 14 6GB/128GB
4,67edfe1cd021bd5ffb8c40a7,Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB
5,67edfe1dd021bd5ffb8c40ab,Điện thoại OPPO Reno13 5G 12GB/256GB
6,67edfe1dd021bd5ffb8c40b0,Điện thoại vivo V40 Lite 8GB/256GB
7,67edfe1dd021bd5ffb8c40b2,Điện thoại HONOR X9c Smart 5G 12GB/256GB
8,67edfe1ed021bd5ffb8c40b4,Điện thoại iPhone 16 Plus 128GB
9,67edfe1ed021bd5ffb8c40b7,Điện thoại iPhone 16 128GB
10,67edfe1fd021bd5ffb8c40ba,Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB
11,67edfe1fd021bd5ffb8c40bd,Điện thoại Samsung Galaxy A16 5G 8GB/256GB
12,67edfe1fd021bd5ffb8c40be,Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB
13,67edfe1fd021bd5ffb8c40bf,Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB
14,67edfe20d021bd5ffb8c40c0,Điện thoại OPPO Reno13 Pro 5G 12GB/512GB
15,67edfe20d021bd5ffb8c40c1,Điện thoại OPPO Reno13 F 8GB/256GB
16,67edfe20d021bd5ffb8c40c8,Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB
17,67edfe21d021bd5ffb8c40ca,Điện thoại iPhone 15 Pro Max 256GB
18,67edfe21d021bd5ffb8c40d0,Điện thoại iPhone 15 Plus 128GB
19,67edfe22d021bd5ffb8c40d3,Điện thoại Samsung Galaxy A35 5G 8GB/256GB
20,67edfe22d021bd5ffb8c40d4,Điện thoại Xiaomi 15 5G 12GB/256GB
21,67edfe22d021bd5ffb8c40d6,Điện thoại Xiaomi 15 Ultra 5G 16GB/512GB
22,67edfe23d021bd5ffb8c40df,Điện thoại vivo V40 5G 12GB/256GB
23,67edfe24d021bd5ffb8c40e1,Điện thoại Samsung Galaxy A05s 6GB/128GB
24,67edfe24d021bd5ffb8c40e2,Điện thoại iPhone 15 128GB
25,67edfe24d021bd5ffb8c40e5,Điện thoại iPhone 14 128GB
26,67edfe25d021bd5ffb8c40e7,Điện thoại Samsung Galaxy S24 FE 5G 8GB/256GB
27,67edfe25d021bd5ffb8c40e8,Điện thoại Samsung Galaxy A25 5G 8GB/128GB
28,67edfe25d021bd5ffb8c40e9,Điện thoại Samsung Galaxy S24 5G 8GB/256GB
29,67edfe25d021bd5ffb8c40eb,Điện thoại Xiaomi 14T 5G 12GB/256GB
30,67edfe26d021bd5ffb8c40ed,Điện thoại Xiaomi 14T Pro 5G 12GB/256GB
31,67edfe26d021bd5ffb8c40f2,Điện thoại OPPO Reno12 F 8GB/256GB
32,67edfe27d021bd5ffb8c40f9,Điện thoại HONOR X8b 8GB/512GB
33,67edfe27d021bd5ffb8c40fd,Điện thoại iPhone 13 128GB
34,67edfe27d021bd5ffb8c40ff,Điện thoại iPhone 12 64GB
35,67edfe27d021bd5ffb8c4101,Điện thoại Xiaomi Redmi 13 6GB/128GB
36,67edfe1bd021bd5ffb8c409f,Điện thoại Samsung Galaxy S25 5G 12GB/256GB
37,67edfe28d021bd5ffb8c4105,Điện thoại Xiaomi Redmi 14C 6GB/128GB
38,67edfe28d021bd5ffb8c4108,Điện thoại realme 12 8GB/256GB
39,67edfe29d021bd5ffb8c4110,Điện thoại vivo V30e 5G 12GB/256GB
40,67edfe29d021bd5ffb8c4113,Điện thoại vivo V30 5G 12GB/512GB
41,67edfe1cd021bd5ffb8c40a5,Điện thoại Xiaomi Redmi Note 14 8GB/128GB
42,67edfe2bd021bd5ffb8c412a,Điện thoại Samsung Galaxy A16 8GB/128GB
43,67edfe27d021bd5ffb8c4102,Điện thoại Xiaomi Redmi 13 8GB/128GB
44,67edfe1cd021bd5ffb8c40a8,Điện thoại OPPO Reno13 F 5G 8GB/256GB
45,67edfe1cd021bd5ffb8c40a6,Điện thoại Xiaomi Redmi Note 14 8GB/256GB
46,67edfe1cd021bd5ffb8c40a9,Điện thoại OPPO Reno13 F 5G 12GB/512GB
47,67edfe2bd021bd5ffb8c412c,Điện thoại Samsung Galaxy M15 5G 6GB/128GB
48,67edfe1ad021bd5ffb8c4099,Điện thoại iPhone 16 Pro Max 512GB
49,67edfe2bd021bd5ffb8c4129,Điện thoại Samsung Galaxy A16 8GB/256GB
50,67edfe1ad021bd5ffb8c409b,Điện thoại iPhone 16 Pro 128GB
51,67edfe1ad021bd5ffb8c409c,Điện thoại iPhone 16 Pro 256GB
52,67edfe25d021bd5ffb8c40ea,Điện thoại Xiaomi 14T 5G 12GB/512GB Xanh
53,67edfe2cd021bd5ffb8c4133,Điện thoại OPPO Reno12 5G 12GB/256GB Hồng
54,67edfe24d021bd5ffb8c40e3,Điện thoại iPhone 15 256GB
55,67edfe2bd021bd5ffb8c4124,Điện thoại OPPO Reno12 5G 12GB/512GB
56,67edfe25d021bd5ffb8c40ec,Điện thoại Xiaomi 14T 5G 12GB/512GB
57,67edfe29d021bd5ffb8c4118,Điện thoại Samsung Galaxy A55 5G 8GB/256GB
58,67edfe1dd021bd5ffb8c40ac,Điện thoại OPPO Reno13 5G 12GB/512GB
59,67edfe2ad021bd5ffb8c411f,Điện thoại Samsung Galaxy M35 5G 8GB/256GB
60,67edfe28d021bd5ffb8c4104,Điện thoại Xiaomi Redmi 14C 4GB/128GB
61,67edfe1ad021bd5ffb8c409a,Điện thoại iPhone 16 Pro Max 1TB
62,67edfe2dd021bd5ffb8c4137,Điện thoại OPPO Reno12 Pro 5G 12GB/512GB
63,67edfe2bd021bd5ffb8c4125,Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB
64,67edfe1fd021bd5ffb8c40bc,Điện thoại Samsung Galaxy A16 5G 8GB/128GB
65,67edfe1bd021bd5ffb8c40a2,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/512GB
66,67edfe1ed021bd5ffb8c40b8,Điện thoại iPhone 16 256GB
67,67edfe1ed021bd5ffb8c40b5,Điện thoại iPhone 16 Plus 256GB
68,67edfe1dd021bd5ffb8c40b1,Điện thoại HONOR X9c 5G 12GB/256GB
69,67edfe2ad021bd5ffb8c4119,Điện thoại Samsung Galaxy A55 5G 12GB/256GB
70,67edfe2bd021bd5ffb8c4123,Điện thoại OPPO Reno12 5G 12GB/256GB
71,67edfe27d021bd5ffb8c4100,Điện thoại iPhone 12 128GB
72,67edfe22d021bd5ffb8c40d1,Điện thoại iPhone 15 Plus 256GB
73,67edfe25d021bd5ffb8c40e6,Điện thoại Samsung Galaxy S24 FE 5G 8GB/128GB
74,67edfe23d021bd5ffb8c40de,Điện thoại realme 13+ 5G 12GB/256GB
75,67edfe29d021bd5ffb8c410f,Điện thoại vivo V30e 5G 8GB/256GB
76,67edfe2bd021bd5ffb8c4128,Điện thoại Samsung Galaxy A16 4GB/128GB
77,67edfe21d021bd5ffb8c40cb,Điện thoại iPhone 15 Pro Max 512GB
78,67edfe22d021bd5ffb8c40d5,Điện thoại Xiaomi 15 5G 12GB/512GB
79,67edfe19d021bd5ffb8c4096,Điện thoại iPhone 16e 256GB
80,67edfe1ad021bd5ffb8c409d,Điện thoại iPhone 16 Pro 512GB
81,67edfe2dd021bd5ffb8c413f,Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng
82,67edfe2dd021bd5ffb8c413b,Điện thoại OPPO Reno12 F 5G 8GB/256GB
83,67edfe28d021bd5ffb8c4107,Điện thoại OPPO Find X8 5G 16GB/512GB Hồng
84,67edfe20d021bd5ffb8c40c9,Điện thoại Samsung Galaxy Z Fold6 5G 12GB/512GB
85,67edfe2dd021bd5ffb8c413c,Điện thoại OPPO Reno12 F 5G 12GB/256GB
86,67edfe1bd021bd5ffb8c40a3,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/1TB
87,67edfe2bd021bd5ffb8c4126,Điện thoại Samsung Galaxy S25 Plus 5G 12GB/512GB
88,67edfe1cd021bd5ffb8c40aa,Điện thoại OPPO Reno13 F 5G 12GB/256GB
89,67edfe2dd021bd5ffb8c4140,Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Đen/Vàng đồng
90,67edfe28d021bd5ffb8c4109,Điện thoại realme 12 8GB/512GB
91,67edfe1bd021bd5ffb8c40a0,Điện thoại Samsung Galaxy S25 5G 12GB/512GB
92,67edfe1ed021bd5ffb8c40b9,Điện thoại iPhone 16 512GB
93,67edfe22d021bd5ffb8c40d7,Điện thoại Xiaomi 15 Ultra 5G 16GB/512GB Trắng
94,67edfe2dd021bd5ffb8c4142,Điện thoại HONOR 200 5G 12GB/512GB
95,67edfe22d021bd5ffb8c40d2,Điện thoại iPhone 15 Plus 512GB
96,67edfe2dd021bd5ffb8c4141,Điện thoại HONOR 200 5G 12GB/256GB
97,67edfe1ed021bd5ffb8c40b6,Điện thoại iPhone 16 Plus 512GB
98,67edfe1bd021bd5ffb8c409e,Điện thoại iPhone 16 Pro 1TB
99,67edfe21d021bd5ffb8c40cc,Điện thoại iPhone 15 Pro Max 1TB
100,67edfe1fd021bd5ffb8c40bb,Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/512GB
101,67edfe2ed021bd5ffb8c4146,Điện thoại OPPO Find N3 5G 16GB/512GB
102,67edfe19d021bd5ffb8c4097,Điện thoại iPhone 16e 512GB
103,67edfe2ed021bd5ffb8c4145,Điện thoại HONOR Magic V3 5G 12GB/512GB
