,ids,names
0,67edfe1cd021bd5ffb8c40a4,Điện thoại Xiaomi Redmi Note 14 6GB/128GB
1,67edfe1cd021bd5ffb8c40a7,Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB
2,67edfe1dd021bd5ffb8c40ab,Điện thoại OPPO Reno13 5G 12GB/256GB
3,67edfe1dd021bd5ffb8c40ad,Điện thoại realme C75 8GB/128GB
4,67edfe1dd021bd5ffb8c40b2,Điện thoại HONOR X9c Smart 5G 12GB/256GB
5,67edfe1fd021bd5ffb8c40be,Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB
6,67edfe1fd021bd5ffb8c40bf,Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB
7,67edfe20d021bd5ffb8c40c0,Điện thoại OPPO Reno13 Pro 5G 12GB/512GB
8,67edfe20d021bd5ffb8c40c1,Điện thoại OPPO Reno13 F 8GB/256GB
9,67edfe20d021bd5ffb8c40c6,Điện thoại HONOR X5b 4GB/64GB
10,67edfe22d021bd5ffb8c40d4,Điện thoại Xiaomi 15 5G 12GB/256GB
11,67edfe22d021bd5ffb8c40d6,Điện thoại Xiaomi 15 Ultra 5G 16GB/512GB
12,67edfe23d021bd5ffb8c40df,Điện thoại vivo V40 5G 12GB/256GB
13,67edfe24d021bd5ffb8c40e0,Điện thoại HONOR X5 Plus 4GB/64GB
14,67edfe26d021bd5ffb8c40ef,Điện thoại OPPO A3 8GB/128GB
15,67edfe26d021bd5ffb8c40f7,Điện thoại vivo Y19s 6GB/128GB
16,67edfe27d021bd5ffb8c40fb,Điện thoại HONOR X6b 6GB/128GB Tím
17,67edfe27d021bd5ffb8c4101,Điện thoại Xiaomi Redmi 13 6GB/128GB
18,67edfe28d021bd5ffb8c4105,Điện thoại Xiaomi Redmi 14C 6GB/128GB
19,67edfe29d021bd5ffb8c4110,Điện thoại vivo V30e 5G 12GB/256GB
20,67edfe1cd021bd5ffb8c40a5,Điện thoại Xiaomi Redmi Note 14 8GB/128GB
21,67edfe27d021bd5ffb8c4102,Điện thoại Xiaomi Redmi 13 8GB/128GB
22,67edfe1cd021bd5ffb8c40a8,Điện thoại OPPO Reno13 F 5G 8GB/256GB
23,67edfe1cd021bd5ffb8c40a6,Điện thoại Xiaomi Redmi Note 14 8GB/256GB
24,67edfe1cd021bd5ffb8c40a9,Điện thoại OPPO Reno13 F 5G 12GB/512GB
25,67edfe2bd021bd5ffb8c412c,Điện thoại Samsung Galaxy M15 5G 6GB/128GB
26,67edfe20d021bd5ffb8c40c4,Điện thoại vivo Y28 8GB/128GB
27,67edfe20d021bd5ffb8c40c7,Điện thoại HONOR X5b Plus 4GB/128GB
28,67edfe1dd021bd5ffb8c40ae,Điện thoại realme C75 8GB/256GB
29,67edfe27d021bd5ffb8c40fa,Điện thoại HONOR X6b 6GB/128GB Đen/Xanh lá
30,67edfe1dd021bd5ffb8c40ac,Điện thoại OPPO Reno13 5G 12GB/512GB
31,67edfe2ad021bd5ffb8c411f,Điện thoại Samsung Galaxy M35 5G 8GB/256GB
32,67edfe28d021bd5ffb8c4104,Điện thoại Xiaomi Redmi 14C 4GB/128GB
33,67edfe2bd021bd5ffb8c4127,Điện thoại HONOR X7c 8GB/256GB
34,67edfe1dd021bd5ffb8c40b1,Điện thoại HONOR X9c 5G 12GB/256GB
35,67edfe26d021bd5ffb8c40f6,Điện thoại vivo Y19s 4GB/128GB
36,67edfe1dd021bd5ffb8c40af,Điện thoại realme C75 8GB/512GB
37,67edfe29d021bd5ffb8c410f,Điện thoại vivo V30e 5G 8GB/256GB
38,67edfe20d021bd5ffb8c40c5,Điện thoại vivo Y28 8GB/256GB
39,67edfe22d021bd5ffb8c40d5,Điện thoại Xiaomi 15 5G 12GB/512GB
40,67edfe26d021bd5ffb8c40ee,Điện thoại OPPO A3 6GB/128GB
41,67edfe28d021bd5ffb8c4107,Điện thoại OPPO Find X8 5G 16GB/512GB Hồng
42,67edfe1cd021bd5ffb8c40aa,Điện thoại OPPO Reno13 F 5G 12GB/256GB
43,67edfe26d021bd5ffb8c40f0,Điện thoại OPPO A3 8GB/256GB
44,67edfe22d021bd5ffb8c40d7,Điện thoại Xiaomi 15 Ultra 5G 16GB/512GB Trắng
45,67edfe2dd021bd5ffb8c4142,Điện thoại HONOR 200 5G 12GB/512GB
46,67edfe2dd021bd5ffb8c4141,Điện thoại HONOR 200 5G 12GB/256GB
47,67edfe26d021bd5ffb8c40f8,Điện thoại vivo Y19s 8GB/128GB
48,67edfe2ed021bd5ffb8c4145,Điện thoại HONOR Magic V3 5G 12GB/512GB
