,ids,names,current_prices
0,67edfe18d021bd5ffb8c4095,Điện thoại iPhone 16e 128GB,16990000.0
1,67edfe19d021bd5ffb8c4096,Điện thoại iPhone 16e 256GB,19990000.0
2,67edfe19d021bd5ffb8c4097,Điện thoại iPhone 16e 512GB,25990000.0
3,67edfe1ad021bd5ffb8c4098,Điện thoại iPhone 16 Pro Max 256GB,31390000.0
4,67edfe1ad021bd5ffb8c4099,Điện thoại iPhone 16 Pro Max 512GB,37790000.0
5,67edfe1ad021bd5ffb8c409a,Điện thoại iPhone 16 Pro Max 1TB,43790000.0
6,67edfe1ad021bd5ffb8c409b,Điện thoại iPhone 16 Pro 128GB,25590000.0
7,67edfe1ad021bd5ffb8c409c,Điện thoại iPhone 16 Pro 256GB,28790000.0
8,67edfe1ad021bd5ffb8c409d,Điện thoại iPhone 16 Pro 512GB,34790000.0
9,67edfe1bd021bd5ffb8c409e,Điện thoại iPhone 16 Pro 1TB,40790000.0
10,67edfe1bd021bd5ffb8c409f,Điện thoại Samsung Galaxy S25 5G 12GB/256GB,19990000.0
11,67edfe1bd021bd5ffb8c40a0,Điện thoại Samsung Galaxy S25 5G 12GB/512GB,23490000.0
12,67edfe1bd021bd5ffb8c40a1,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB,29990000.0
13,67edfe1bd021bd5ffb8c40a2,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/512GB,34490000.0
14,67edfe1bd021bd5ffb8c40a3,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/1TB,40790000.0
15,67edfe1cd021bd5ffb8c40a4,Điện thoại Xiaomi Redmi Note 14 6GB/128GB,4990000.0
16,67edfe1cd021bd5ffb8c40a5,Điện thoại Xiaomi Redmi Note 14 8GB/128GB,5490000.0
17,67edfe1cd021bd5ffb8c40a6,Điện thoại Xiaomi Redmi Note 14 8GB/256GB,6090000.0
18,67edfe1cd021bd5ffb8c40a7,Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB,7590000.0
