group_id,group_name
115,Laptop Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX/16GB/512GB/4GB RTX2050/144Hz/Win11 (83LK000BVN)
137,Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/24GB/512GB/6GB RTX3050/144Hz/Win11 (83GS00D9VN)
132,Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/16GB/512GB/6GB RTX3050/144Hz/Win11 (83GS000JVN)
168,Laptop Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX/16GB/512GB/8GB RTX4060/165Hz/Win11 (NH.QLUSV.005)
178,Laptop Asus Gaming TUF A15 FA507NUR R7 7435HS/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP057W)
170,Laptop Lenovo Gaming LOQ 15ARP9 R7 7435HS/24GB/512GB/6GB RTX4050/144Hz/Win11 (83JC0040VN)
207,Laptop Asus TUF Gaming A15 FA507NVR R7 7435HS/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP007W)
199,"Laptop Asus TUF Gaming F15 FX507VV i7 13620H/16GB/512GB/8GB RTX4060/15.6""F/144Hz/Win11 (LP151W)"
192,Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/24GB/512GB/4GB RTX2050/144Hz/Win11 (83GS00DBVN)
259,Laptop Lenovo Gaming LOQ 15IRX9 i7 13650HX/24GB/512GB/6GB RTX4050/144Hz/Win11 (83DV00UGVN)
250,Laptop MSI Gaming Sword 16 HX B14VFKG i7 14700HX/16GB/1TB/8GB RTX4060/240Hz/Balo/Win11 (045VN)
279,Laptop Lenovo Gaming Legion 5 16IRX9 i7 14650HX/16GB/1TB/8GB RTX4060/165Hz/Win11 (83DG0051VN)
255,Laptop Asus TUF Gaming F15 FX507VU i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP186W)
270,Laptop Asus ROG Strix G16 G614JV i7 13650HX/32GB/1TB/8GB RTX4060/165Hz/Win11 (N3515W)
248,Laptop MSI Gaming Stealth 14 AI Studio A1VFG Ultra 7 155H/32GB/1TB/8GB RTX4060/120Hz/Balo/Tai nghe/Móc chìa khóa/Chuột/Lót chuột/Win11 (085VN)
281,Laptop Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX/32GB/1TB/8GB RTX4060/240Hz/Win11 (83DF0047VN)
282,Laptop Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H/32GB/1TB/6GB RTX4050/120Hz/OfficeHS/Win11 (83E2005DVN)
278,Laptop MSI Gaming Cyborg 14 A13VE i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Balo/Win11 (090VN)
305,Laptop Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX/32GB/1TB/8GB RTX4070/240Hz/Win11 (83DF0046VN)
303,Laptop Lenovo Gaming LOQ 15ARP9 R7 7435HS/24GB/512GB/8GB RTX4060/144Hz/Win11 (83JC003YVN)
332,Laptop Dell G15 5530 i9 13900HX/16GB/1TB/8GB RTX4060/165Hz/OfficeHS/Win11 (i9HX161W11GR4060)
333,Laptop Asus TUF Gaming F15 FX507VU i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP167W)
356,Laptop MSI Creator Z17 HX Studio A14VGT i7 14700HX/32GB/2TB/8GB RTX4070/165Hz/Touch/Pen/Balo/Win11 (272VN)
336,Laptop Lenovo Gaming Legion Slim 5 16AHP9 R7 8845HS/32GB/1TB/8GB RTX4060/165Hz/Win11 (83DH003BVN)
339,Laptop Asus Vivobook 14X OLED K3405VC i5 13500H/16GB/512GB/4GB RTX3050/Win11 (KM006W)
342,Laptop Lenovo Gaming Legion Pro 7 16IRX9H i9 14900HX/32GB/1TB/16GB RTX4090/240Hz/Win11 (83DE001MVN)
362,Laptop MSI Creator M16 HX C14VFG i7 14700HX/32GB/1TB/8GB RTX4060/240Hz/Balo/Win11 (040VN)
346,Laptop Asus ROG Strix G16 G614JU i7 13650HX/32GB/1TB/6GB RTX4050/165Hz/Win11 (N3509W)
354,Laptop Asus TUF Gaming A15 FA507NV R7 7735HS/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP031W)
361,Laptop HP OMEN 16 xf0071AX R7 7840HS/32GB/1TB/8GB RTX4060/240Hz/Win11 (8W946PA)
365,Laptop Asus TUF Gaming A14 FA401WV R9 AI HX 370/16GB/1TB/8GB RTX4060/165Hz/OfficeHS/Office365/Win11 (RG062WS)
376,Laptop MacBook Pro 14 inch M4 16GB/512GB
377,Laptop MacBook Pro 14 inch M4 Pro 24GB/512GB
396,Laptop MacBook Pro 14 inch M4 Pro 48GB/1TB
390,Laptop MacBook Pro 14 inch Nano M4 Pro 24GB/512GB
387,Laptop MacBook Pro 16 inch M4 Pro 24GB/512GB
381,Laptop MacBook Pro 14 inch Nano M4 16GB/512GB
380,Laptop MacBook Pro 14 inch M4 Pro 24GB/1TB
395,Laptop MacBook Pro 14 inch M4 Pro 48GB/512GB
383,Laptop MacBook Pro 16 inch M4 Pro 24GB/1TB
389,Laptop MacBook Pro 16 inch M4 Pro 48GB/512GB
398,Laptop Dell G15 5530 i7 13650HX/16GB/1TB/8GB RTX4060/165Hz/OfficeHS/Win11 (i7HX161W11GR4060)
412,Laptop MacBook Pro 16 inch M4 Max 36GB/1TB
397,Laptop HP OMEN 16 xf0070AX R9 7940HS/32GB/1TB/8GB RTX4070/240Hz/Win11 (8W945PA)
399,Laptop MacBook Pro 14 inch Nano M4 Max 36GB/1TB
400,Laptop Apple MacBook Pro 16 inch Nano M4 Pro 24GB/512GB
416,Laptop HP OMEN Transcend 14 fb0135TX Ultra 7 155H/16GB/1TB/8GB RTX4060/120Hz/Win11 (AY8V1PA)
423,Laptop Lenovo Legion 7 16IRX9 i9 14900H/32GB/1TB/8GB RTX4070/165Hz/Win11
454,Laptop MacBook Air 13 inch M4 16GB/256GB
455,Laptop MacBook Air 13 inch M4 16GB/512GB
456,Laptop MacBook Air 13 inch M4 16GB/1TB
457,Laptop MacBook Air 13 inch M4 24GB/256GB
458,Laptop MacBook Air 13 inch M4 24GB/512GB
459,Laptop MacBook Air 13 inch M4 24GB/1TB
460,Laptop MacBook Air 13 inch M4 32GB/256GB
461,Laptop MacBook Air 13 inch M4 32GB/512GB
462,Laptop MacBook Air 13 inch M4 32GB/1TB
463,Laptop MacBook Air 15 inch M4 16GB/256GB
464,Laptop MacBook Air 15 inch M4 16GB/512GB
465,Laptop MacBook Air 15 inch M4 16GB/1TB
466,Laptop MacBook Air 15 inch M4 24GB/256GB
467,Laptop MacBook Air 15 inch M4 24GB/512GB
468,Laptop MacBook Air 15 inch M4 24GB/1TB
469,Laptop MacBook Air 15 inch M4 32GB/256GB
470,Laptop MacBook Air 15 inch M4 32GB/512GB
471,Laptop MacBook Air 15 inch M4 32GB/1TB
