group_id,group_name
107,Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W)
109,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5057W1)
108,Laptop HP 15 fc0085AU R5 7430U/16GB/512GB/Win11 (A6VV8PA)
127,Laptop Acer Aspire 7 A715 76 53PJ i5 12450H/16GB/512GB/Win11 (NH.QGESV.007)
113,Laptop HP 15 fd0234TU i5 1334U/16GB/512GB/Win11 (9Q969PA)
134,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001)
114,Laptop Asus Vivobook 15 X1504ZA i5 1235U/16GB/512GB/Win11 (NJ1608W)
172,Laptop Lenovo IdeaPad Slim 3 15IRH10 i5 13420H/16GB/512GB/Win11 (83K1000HVN)
119,Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W)
117,Laptop HP 15 fd0303TU i3 1315U/8GB/512GB/Win11 (A2NL4PA)
118,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11
131,Laptop Acer Aspire Lite 14 51M 36PN i3 1215U/8GB/512GB/Win11 (NX.KTWSV.001)
120,Laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U/16GB/512GB/Win11 (82XQ00J0VN)
122,Laptop MacBook Air 13 inch M2 16GB/256GB
123,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W)
124,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (AG2J7AT)
135,Laptop Acer Aspire Lite 14 51M 36MH i3 1215U/8GB/256GB/Win11 (NX.KTVSV.001)
128,Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W)
139,Laptop HP Pavilion 15 eg3093TU i5 1335U/16GB/512GB/Win11 (8C5L4PA)
140,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (N5I7125W1)
141,Laptop Acer Aspire 3 A315 44P R9W8 R7 5700U/8GB/512GB/Win11 (NX.KSJSV.002)
111,Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN)
133,Laptop HP 240 G9 i3 1215U/8GB/512GB/Win11 (AG2J5AT)
130,Laptop HP 245 G10 R5 7530U/8GB/512GB/Win11 (A20TDPT)
129,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N3520-i5U165W11BLU-FP)
136,Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W)
147,Laptop Acer Aspire Lite 14 51M 59BN i5 1235U/16GB/512GB/Win11 (NX.KTXSV.001)
157,Laptop MSI Modern 15 B12MO i5 1235U/16GB/512GB/Win11 (628VN)
154,Laptop HP 15 fd0015TU i7 1355U/16GB/512GB/Win11 (A19C5PA)
146,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5052W1)
125,Laptop Lenovo Ideapad Slim 5 14IAH8 i5 12450H/16GB/1TB/Win11 (83BF003WVN)
228,Laptop MSI Modern 15 F13MG i5 1335U/16GB/512GB/Túi/Win11 (082VN)
240,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/Win11 (71053682)
156,Laptop Asus Vivobook 15 X1504ZA i5 1235U/16GB/512GB/Win11 (NJ1546W)
158,Laptop Asus Zenbook 14 OLED UX3402VA i5 13500H/16GB/512GB/90Hz/Win11 (KM657W)
175,Laptop HP Pavilion X360 14 ek2024TU Core 5 120U/16GB/512GB/Touch/Pen/Win11 (9Z2V6PA)
