group_id,group_name
122,Laptop MacBook Air 13 inch M2 16GB/256GB
137,Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/24GB/512GB/6GB RTX3050/144Hz/Win11 (83GS00D9VN)
168,Laptop Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX/16GB/512GB/8GB RTX4060/165Hz/Win11 (NH.QLUSV.005)
158,Laptop Asus Zenbook 14 OLED UX3402VA i5 13500H/16GB/512GB/90Hz/Win11 (KM657W)
178,Laptop Asus Gaming TUF A15 FA507NUR R7 7435HS/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP057W)
221,Laptop HP Pavilion X360 14 ek2027TU Core 7 150U/16GB/512GB/Touch/Pen/Win11 (9Z2V9PA)
220,Laptop Asus Vivobook S 14 OLED S5406MA Ultra 5 125H/16GB/1TB/120Hz/Win11 (PP136W)
190,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 5 125H/16GB/512GB/Túi/Win11
170,Laptop Lenovo Gaming LOQ 15ARP9 R7 7435HS/24GB/512GB/6GB RTX4050/144Hz/Win11 (83JC0040VN)
230,Laptop Acer Gaming Nitro 5 Tiger AN515 58 52SP i5 12500H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QFHSV.001)
309,Laptop HP Envy x360 14 fc0162TU Ultra 5 125U/16GB/512GB/Touch/Pen/OfficeHS/Win11 (AY8X1PA)
180,Laptop MSI Gaming Katana 15 B13UDXK i7 13620H/16GB/1TB/6GB RTX3050/144Hz/Balo/Win11 (2077VN)
177,Laptop Acer Aspire Lite AL16 51P 596H i5 1235U/8GB/512GB/Win11 (NX.KWZSV.002)
310,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 7 155H/32GB/1TB/120Hz/Túi/Win11 (PP152W)
191,Laptop MSI Gaming Cyborg 15 A13VEK i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Balo/Win11 (1423VN)
209,Laptop Asus Vivobook 15 OLED A1505VA i9 13900H/16GB/512GB/120Hz/OfficeHS/Win11 (MA586WS)
207,Laptop Asus TUF Gaming A15 FA507NVR R7 7435HS/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP007W)
283,Laptop HP Elitebook 630 G11 Ultra 7 155U/16GB/512GB/Win11 (A7LC5PT)
199,"Laptop Asus TUF Gaming F15 FX507VV i7 13620H/16GB/512GB/8GB RTX4060/15.6""F/144Hz/Win11 (LP151W)"
237,Laptop HP Elitebook 630 G10 i5 1335U/16GB/512GB/Win11 (9J0B4PT)
297,Laptop Asus Vivobook S 16 OLED S5606MA Ultra 5 125H/16GB/512GB/120Hz/Win11 (MX050W)
215,Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 7 155H/32GB/1TB/Win11 (83DA0020VN)
266,Laptop HP Gaming VICTUS 16 s0173AX R5 7640HS/16GB/512GB/6GB RTX3050/144Hz/Win11 (A9LG9PA)
231,Laptop Asus Gaming Vivobook K3605ZU i5 12500H/16GB/512GB/6GB RTX4050/144Hz/Win11 (RP296W)
265,Laptop Lenovo ThinkPad E16 Ultra 7 155H/32GB/1TB/Win11 (21MA004PVN)
227,Laptop Asus Zenbook A14 UX3407QA X1 26 100/16GB/512GB/OfficeHS24+365/Win11 (QD299WS)
252,Laptop Lenovo ThinkPad E14 Gen 6 Ultra 7 155U/16GB/512GB/Win11 (21M7004UVN)
246,Laptop Acer Gaming Nitro 5 Tiger AN515 58 769J i7 12700H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QFHSV.003)
253,Laptop Dell Inspiron 14 5440 Core 7 150U/16GB/1TB/OfficeHS/Win11 (7FN5J)
301,Laptop HP Elitebook 630 G10 i7 1355U/16GB/512GB/Win11 (9H1N9PT)
250,Laptop MSI Gaming Sword 16 HX B14VFKG i7 14700HX/16GB/1TB/8GB RTX4060/240Hz/Balo/Win11 (045VN)
279,Laptop Lenovo Gaming Legion 5 16IRX9 i7 14650HX/16GB/1TB/8GB RTX4060/165Hz/Win11 (83DG0051VN)
255,Laptop Asus TUF Gaming F15 FX507VU i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP186W)
277,Laptop Acer Gaming Nitro V ANV15 51 55CA i5 13420H/16GB/512GB/6GB RTX4050/144Hz/Win11 (NH.QN8SV.004)
347,Laptop HP Gaming VICTUS 16 r0130TX i5 13500H/16GB/512GB/144Hz/6GB RTX3050/Win11 (8C5N5PA)
