group_id,group_name
134,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001)
122,Laptop MacBook Air 13 inch M2 16GB/256GB
128,Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W)
130,Laptop HP 245 G10 R5 7530U/8GB/512GB/Win11 (A20TDPT)
136,Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W)
166,Laptop HP 240 G10 i5 1335U/16GB/512GB/Win11 (9H2E4PT)
158,Laptop Asus Zenbook 14 OLED UX3402VA i5 13500H/16GB/512GB/90Hz/Win11 (KM657W)
176,Laptop HP 240 G8 i3 1115G4/8GB/512GB/Win11 (6L1A2PA)
220,Laptop Asus Vivobook S 14 OLED S5406MA Ultra 5 125H/16GB/1TB/120Hz/Win11 (PP136W)
190,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 5 125H/16GB/512GB/Túi/Win11
309,Laptop HP Envy x360 14 fc0162TU Ultra 5 125U/16GB/512GB/Touch/Pen/OfficeHS/Win11 (AY8X1PA)
196,Laptop Asus Vivobook 14 X1404VA i5 1335U/16GB/512GB/Win11 (NK050W)
310,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 7 155H/32GB/1TB/120Hz/Túi/Win11 (PP152W)
244,Laptop Acer Swift Lite 14 AI SFL14 51M 56HS Ultra 5 125U/16GB/512GB/Win11 (NX.J1HSV.002)
283,Laptop HP Elitebook 630 G11 Ultra 7 155U/16GB/512GB/Win11 (A7LC5PT)
237,Laptop HP Elitebook 630 G10 i5 1335U/16GB/512GB/Win11 (9J0B4PT)
226,Laptop MSI Modern 14 C13M i5 1335U/16GB/512GB/Win11 (611VN)
227,Laptop Asus Zenbook A14 UX3407QA X1 26 100/16GB/512GB/OfficeHS24+365/Win11 (QD299WS)
206,Laptop Acer Swift Go 14 41 R251 R5 7430U/16GB/1TB/Win11 (NX.KG3SV.005)
