group_id,group_name
6,Điện thoại Xiaomi Redmi Note 14
7,Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB
9,Điện thoại OPPO Reno13 5G
10,Điện thoại realme C75
12,Điện thoại HONOR X9c 5G
18,Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB
19,Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB
20,Điện thoại OPPO Reno13 Pro 5G 12GB/512GB
21,Điện thoại OPPO Reno13 F 8GB/256GB
24,Điện thoại HONOR X5b
30,Điện thoại Xiaomi 15 5G
31,Điện thoại Xiaomi 15 Ultra 5G
35,Điện thoại vivo V40 5G 12GB/256GB
36,Điện thoại HONOR X5 Plus 4GB/64GB
46,Điện thoại OPPO A3
50,Điện thoại vivo Y19s
52,Điện thoại HONOR X6b
56,Điện thoại Xiaomi Redmi 13
58,Điện thoại Xiaomi Redmi 14C
63,Điện thoại vivo V30e 5G
8,Điện thoại OPPO Reno13 F 5G
84,Điện thoại Samsung Galaxy M15 5G
23,Điện thoại vivo Y28
76,Điện thoại Samsung Galaxy M35 5G 8GB/256GB
82,Điện thoại HONOR X7c 8GB/256GB
59,Điện thoại OPPO Find X8 5G
101,Điện thoại HONOR 200 5G
103,Điện thoại HONOR Magic V3 5G 12GB/512GB
