group_id,group_name
1,Điện thoại iPhone 16e
2,Điện thoại iPhone 16 Pro Max
5,Điện thoại Samsung Galaxy S25 Ultra 5G
9,Điện thoại OPPO Reno13 5G
14,Điện thoại iPhone 16 Plus
15,Điện thoại iPhone 16
16,Điện thoại Samsung Galaxy S24 Ultra 5G
18,Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB
19,Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB
20,Điện thoại OPPO Reno13 Pro 5G 12GB/512GB
25,Điện thoại Samsung Galaxy Z Fold6 5G
26,Điện thoại iPhone 15 Pro Max
28,Điện thoại iPhone 15 Plus
29,Điện thoại Samsung Galaxy A35 5G 8GB/256GB
30,Điện thoại Xiaomi 15 5G
31,Điện thoại Xiaomi 15 Ultra 5G
38,Điện thoại iPhone 15
40,Điện thoại iPhone 14 128GB
41,Điện thoại Samsung Galaxy S24 FE 5G
43,Điện thoại Samsung Galaxy S24 5G 8GB/256GB
44,Điện thoại Xiaomi 14T 5G
45,Điện thoại Xiaomi 14T Pro 5G 12GB/256GB
54,Điện thoại iPhone 13
55,Điện thoại iPhone 12
4,Điện thoại Samsung Galaxy S25 5G
63,Điện thoại vivo V30e 5G
65,Điện thoại vivo V30 5G 12GB/512GB
84,Điện thoại Samsung Galaxy M15 5G
3,Điện thoại iPhone 16 Pro
90,Điện thoại OPPO Reno12 5G 12GB/256GB Hồng
80,Điện thoại OPPO Reno12 5G
70,Điện thoại Samsung Galaxy A55 5G
76,Điện thoại Samsung Galaxy M35 5G 8GB/256GB
93,Điện thoại OPPO Reno12 Pro 5G 12GB/512GB
81,Điện thoại Samsung Galaxy S25 Plus 5G
92,Điện thoại Samsung Galaxy Z Flip6 5G
34,Điện thoại realme 13+ 5G
94,Điện thoại Samsung Galaxy M54 5G 8GB/256GB
100,Điện thoại OPPO Find N3 Flip 5G
97,Điện thoại OPPO Reno12 F 5G
59,Điện thoại OPPO Find X8 5G
101,Điện thoại HONOR 200 5G
39,Điện thoại iPhone 14 Plus 512GB
104,Điện thoại OPPO Find N3 5G 16GB/512GB
103,Điện thoại HONOR Magic V3 5G 12GB/512GB
