group_id,group_name
1,Điện thoại iPhone 16e
2,Điện thoại iPhone 16 Pro Max
5,Điện thoại Samsung Galaxy S25 Ultra 5G
6,Điện thoại Xiaomi Redmi Note 14
7,Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB
9,Điện thoại OPPO Reno13 5G
11,Điện thoại vivo V40 Lite 8GB/256GB
12,Điện thoại HONOR X9c 5G
14,Điện thoại iPhone 16 Plus
15,Điện thoại iPhone 16
16,Điện thoại Samsung Galaxy S24 Ultra 5G
17,Điện thoại Samsung Galaxy A16 5G
18,Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB
19,Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB
20,Điện thoại OPPO Reno13 Pro 5G 12GB/512GB
21,Điện thoại OPPO Reno13 F 8GB/256GB
25,Điện thoại Samsung Galaxy Z Fold6 5G
26,Điện thoại iPhone 15 Pro Max
28,Điện thoại iPhone 15 Plus
29,Điện thoại Samsung Galaxy A35 5G 8GB/256GB
30,Điện thoại Xiaomi 15 5G
31,Điện thoại Xiaomi 15 Ultra 5G
35,Điện thoại vivo V40 5G 12GB/256GB
37,Điện thoại Samsung Galaxy A05s 6GB/128GB
38,Điện thoại iPhone 15
40,Điện thoại iPhone 14 128GB
41,Điện thoại Samsung Galaxy S24 FE 5G
42,Điện thoại Samsung Galaxy A25 5G 8GB/128GB
43,Điện thoại Samsung Galaxy S24 5G 8GB/256GB
44,Điện thoại Xiaomi 14T 5G
45,Điện thoại Xiaomi 14T Pro 5G 12GB/256GB
48,Điện thoại OPPO Reno12 F 8GB/256GB
51,Điện thoại HONOR X8b 8GB/512GB
54,Điện thoại iPhone 13
55,Điện thoại iPhone 12
56,Điện thoại Xiaomi Redmi 13
4,Điện thoại Samsung Galaxy S25 5G
58,Điện thoại Xiaomi Redmi 14C
60,Điện thoại realme 12
63,Điện thoại vivo V30e 5G
65,Điện thoại vivo V30 5G 12GB/512GB
83,Điện thoại Samsung Galaxy A16
8,Điện thoại OPPO Reno13 F 5G
84,Điện thoại Samsung Galaxy M15 5G
3,Điện thoại iPhone 16 Pro
90,Điện thoại OPPO Reno12 5G 12GB/256GB Hồng
80,Điện thoại OPPO Reno12 5G
70,Điện thoại Samsung Galaxy A55 5G
76,Điện thoại Samsung Galaxy M35 5G 8GB/256GB
93,Điện thoại OPPO Reno12 Pro 5G 12GB/512GB
81,Điện thoại Samsung Galaxy S25 Plus 5G
34,Điện thoại realme 13+ 5G
100,Điện thoại OPPO Find N3 Flip 5G
97,Điện thoại OPPO Reno12 F 5G
59,Điện thoại OPPO Find X8 5G
101,Điện thoại HONOR 200 5G
104,Điện thoại OPPO Find N3 5G 16GB/512GB
103,Điện thoại HONOR Magic V3 5G 12GB/512GB
